Repo Name,Collaborator,Collaborator2,Collaborator3,Collaborator4,Collaborator5,Collaborator6,Collaborator7,Collaborator8,Collaborator9,Collaborator10,Collaborator11,Collaborator12,Collaborator13,Collaborator14,Collaborator15,Collaborator16,Collaborator17,Collaborator18,Collaborator19,Collaborator20,Collaborator21,Collaborator22,Collaborator23,Collaborator24,Collaborator25,Collaborator26,Collaborator27,Collaborator28,Collaborator29
NRM-TrBrdg,aaronburk,nathan-farnsworth,thompson-grant,brendayankoviak,elisha-palmer,kevin-j-johnson,lynne-ouellette,svitlana-sergeeva,Daniel-Doherty,"Michelle-Anderson2""",,,,,,,,,,,,,,,,,,,
NRM-UACS,nathan-farnsworth,naveen-jonnalagadda,enlang,gary-petrakes,delvin-bunton,jonathanbenoit,"Mark-Leikam""",,,,,,,,,,,,,,,,,,,,,,
NRM-UICore,lance-bragin,jeffrey-johnson,john-simonitch,ethan-bodin,frederick-pieper,"Scott-Johnson""",,,,,,,,,,,,,,,,,,,,,,,
NRM-UICore-DemoApp,nathan-farnsworth,"john-simonitch""",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-UMA,anupama-wudali,andrew-hackethorn,lance-bragin,lsamet,adrian-grell,ann-mates,delvin-bunton,jencinas,Mark-Leikam,pamela-young,Daniel-Doherty,jared-boehmke,Jeffrey-Chase,"Robert-Gawlik""",,,,,,,,,,,,,,,
NRM-Utilities,nathan-farnsworth,andrew-hackethorn,lsamet,ethan-bodin,"jencinas""",,,,,,,,,,,,,,,,,,,,,,,,
NRM-WasteWatSys,aaronburk,nathan-farnsworth,susan-emery,thompson-grant,kathy-kennedy,Daniel-Doherty,Michelle-Anderson2,mathew-barnett,jared-boehmke,betty-block,"randa-osborn""",,,,,,,,,,,,,,,,,,
NRM-WaterSamp,aaronburk,nathan-farnsworth,susan-emery,thompson-grant,john-simonitch,bjlee,Daniel-Doherty,Michelle-Anderson2,mathew-barnett,betty-block,"randa-osborn""",,,,,,,,,,,,,,,,,,
NRM-WaterSys,aaronburk,nathan-farnsworth,susan-emery,thompson-grant,Mark-Leikam,Daniel-Doherty,Michelle-Anderson2,mathew-barnett,jared-boehmke,betty-block,"randa-osborn""",,,,,,,,,,,,,,,,,,
NRM-WCATT,christine-didocha,joan-carlson,robert-downing,sean-dunlap,Michael-Dunlap1,Thomas-Wolfe,Jessie-Bowen,Sheetal-Darpe,"Scott-Johnson""",,,,,,,,,,,,,,,,,,,,
NRM-Wild,nathan-farnsworth,colin-stynes,enlang,portia-jelinek,jose-acosta3,esandeno,frederick-pieper,patricia-chynoweth,"Michelle-Anderson2""",,,,,,,,,,,,,,,,,,,,
NRM-Wild-Legacy,naveen-jonnalagadda,gary-petrakes,portia-jelinek,jose-acosta3,esandeno,jencinas,patricia-chynoweth,Michelle-Anderson2,Gaurav-Thakkar,BalaKrishna-Chitneni,"Lakshmi-Chebrolu""",,,,,,,,,,,,,,,,,,
NRM-Wildlife,mahmoud-awad,nathan-farnsworth,susan-emery,gina-siroy,colin-stynes,martin-ferwerda,lance-bragin,jeffrey-johnson,lsamet,portia-jelinek,john-simonitch,adrian-grell,anthony-courter,denise-wickwar,frederick-pieper,george-w-johnson,jsulzman,jonathanbenoit,jstangl,lynne-ouellette,robert-downing,susan-dibble,Lorena-Vasquez,Thomas-Wolfe,"Jessie-Bowen""",,,,
NRM-Wildlife-Legacy,nathan-farnsworth,gina-siroy,denise-wickwar,jstangl,lynne-ouellette,"Thomas-Wolfe""",,,,,,,,,,,,,,,,,,,,,,,
NRM-WIT,aaronburk,nathan-farnsworth,andrew-hackethorn,christine-didocha,lance-bragin,anthony-courter,bjlee,george-w-johnson,joan-carlson,mbarczak,sean-dunlap,Michael-Dunlap1,Thomas-Wolfe,"Khamille-Jaynes""",,,,,,,,,,,,,,,
NRM-WM-FSWEB,johnmichael-vaisa,Nicholas-Rockower,Revathi-Gajula,David-Hester2,"Dana-Gravelle""",,,,,,,,,,,,,,,,,,,,,,,,
NRM-Workbench,nathan-farnsworth,susan-emery,adrian-grell,bjlee,cmcconnell01,mbarczak,sharon-horn,neelima-semaldinne,jay-a-frankland,Thomas-Wolfe,Jessie-Bowen,Sheetal-Darpe,"anna-johnston""",,,,,,,,,,,,,,,,
NRM-WrkItems,aaronburk,brian-moe,charlesruhsenberger,Pamela-Hergett,mathew-barnett,jared-boehmke,"betty-block""",,,,,,,,,,,,,,,,,,,,,,
NRM-WRU,nathan-farnsworth,martin-ferwerda,christine-didocha,cmcconnell01,Thomas-Wolfe,"anna-johnston""",,,,,,,,,,,,,,,,,,,,,,,
NRM-WSR,nathan-farnsworth,naveen-jonnalagadda,anupama-wudali,portia-jelinek,esandeno,patricia-chynoweth,Michelle-Anderson2,"Gaurav-Thakkar""",,,,,,,,,,,,,,,,,,,,,
NRM-YearEnd,enlang,bjlee,"Mark-Leikam""",,,,,,,,,,,,,,,,,,,,,,,,,,
